year,artists,danceability,explicit,id,loudness,name,popularity,release_date,speechiness
2009,"['kid cudi', 'crookers']",0.7509999999999999,1,6ouTGbETM7ZdID1eMXZJde,-6.9670000000000005,day 'n' nite - crookers remix,1,2009-01-01,0.0461
2012,['kdrew'],0.66,0,3mYP2JXlrv2iLyU8GIAszA,-5.244,bullseye,0,2012-02-01,0.0529
2000,['boysetsfire'],0.45799999999999996,0,3f0VeXFWFrDjt9BFmRPIej,-6.035,rookie,0,2000-01-01,0.0601
2008,['the high kings'],0.815,0,2AMHDHBuhSvcEhbv5IVSB1,-7.694,the rocky road to dublin,0,2008-01-01,0.172
2007,['los acosta'],0.685,0,2xERZiTuHMineyOlDrmlY4,-7.938,siempre te recordaré,0,2007-03-04,0.0328
2011,['queen'],0.392,0,2GAIycsMaDVtMtdvxzR2xI,-9.961,bohemian rhapsody - remastered 2011,0,2011-01-01,0.0536
2003,['cold'],0.44,0,6IFghoJ2LzD21R91chrdTa,-3.753,remedy,0,2003,0.049
2014,['conjunto primavera'],0.596,0,6jYKQF2D2YCYOAWmyDGcXy,-6.638,no te podías quedar,1,2014-01-01,0.0357
2010,['the books'],0.688,0,5E0zmXN9E5gJREtMadj0rd,-8.494,a cold freezin' night,0,2010-07-20,0.259
2006,['alan jackson'],0.363,0,1RMAY4FuX9P5EwLEnY2WJ0,-11.312000000000001,blessed assurance,0,2006,0.0606
2013,['lorde'],0.575,0,3S1tTwSKIZgf4QGltFyCxM,-9.291,everybody wants to rule the world - from “the hunger games: catching fire” soundtrack,1,2013-01-01,0.10099999999999999
2016,['axel flóvent'],0.623,0,6AQ3guMjWgetjRpQASwrE5,-12.26,forest fires,1,2016-01-08,0.0313
2018,"['city morgue', 'zillakami', 'sosmula']",0.373,1,5T0YyRxyxtLDxLYJhLjqWM,-1.98,33rd blakk glass,1,2018-10-12,0.0612
2013,['avenged sevenfold'],0.37799999999999995,0,3vYP5IgBfHv9nWbNhTq3IS,-6.447,coming home,1,2013-08-23,0.055
2003,['the format'],0.573,0,38tpawuPzka8PZjo1V9RUE,-4.8839999999999995,the first single (you know me),0,2003-10-21,0.0682
2016,['the avett brothers'],0.787,0,6XMYnm4OTEysN8blzqiCL9,-5.617000000000001,ain't no man,1,2016-06-24,0.319
2015,['pentatonix'],0.521,0,7DG0w4DhCctrvlXIai22yg,-5.754,hark! the herald angels sing,1,2015-10-30,0.221
2016,"['lil uzi vert', 'future']",0.8859999999999999,1,6j0teRL3WdExzqmy334sh5,-4.404,seven million (feat. future),1,2016-08-10,0.306
2019,"['bring me the horizon', 'death stranding: timefall']",0.295,0,2eZjO58Qe9og2xmyfw4qwJ,-6.182,ludens,1,2019-11-06,0.15
2009,['beegie adair'],0.48,0,62UOIYHMYa8V34OuwOzXN0,-18.404,have yourself a merry little christmas,0,2009-01-01,0.039
2015,"['naughty boy', 'beyoncé', 'arrow benjamin']",0.319,0,5yZvaUVyuXfSVUaMumFi6l,-6.109,runnin' (lose it all),1,2015-09-17,0.0796
2000,['banda arkangel r-15'],0.718,0,4X0WfWExu6bcIgAiS06UPS,-6.6129999999999995,el sapo y el kora,0,2000-07-18,0.0659
2005,['selena'],0.537,0,2BIfTo4TpRuWZoebrkQ1oX,-10.632,i could fall in love,0,2005-01-01,0.0316
2013,"['mac miller', 'future']",0.763,1,7yPGXCaeIr1ofJoqp3LeKF,-8.251,earth,0,2013-12-17,0.11800000000000001
2000,['the dandy warhols'],0.45799999999999996,0,1bpo7csRNPoW01SGPbGclM,-4.876,get off,0,2000-01-01,0.0336
2019,['john vincent iii'],0.44299999999999995,0,3MwHZDGwAR8RjZZBriBqmx,-7.975,next to you,1,2019-06-17,0.0321
2004,['alabama'],0.503,0,5dWOxNZRxgqwycnWZvAaNQ,-10.538,there's no way,0,2004-10-08,0.027000000000000003
2012,['one direction'],0.495,0,0OXbRangbVBMejFX3EV6DN,-5.49,summer love,1,2012-11-12,0.0311
2015,['leon bridges'],0.555,0,6squXSZ3rl7tENdZiOuIEj,-8.514,here in my arms,1,2015-06-23,0.0261
2011,['shaila dúrcal'],0.48700000000000004,0,6MMvBZKsmzHlxlmTlwQI6G,-9.677999999999999,convénceme,0,2011-01-01,0.0298
2017,"['plies', 'kodak black']",0.5589999999999999,1,1fnRwgZLgAYMM1dVL1oqwG,-6.981,real hitta (feat. kodak black),1,2017-05-12,0.40399999999999997
2014,['ajr'],0.515,0,3EkJj2KsKDbVCn0MfeSnoe,-11.088,3am,0,2014-09-16,0.0736
2004,['the crystal method'],0.648,0,30FjilIce6H85IMU6ULp1l,-3.449,born too slow,0,2004,0.033
2018,['j-hope'],0.748,0,4YAgH8s0JFfwikTNwe0aIk,-6.518,daydream (백일몽),1,2018-03-02,0.0875
2000,"['d.i.t.c.', 'a.g.', 'big l', 'o.c.']",0.7559999999999999,1,7ImXlOjKprb3ADIeSTqHmg,-4.918,thick,0,2000-02-22,0.309
2015,['jason isbell'],0.633,0,0Ex5dDCH0qz5ySfm3seYJr,-16.632,speed trap town,0,2015-07-17,0.034
2018,['cardi b'],0.884,1,17Yq72h0p15OhCbZ5lJ5gd,-5.332999999999998,bickenhead,1,2018-04-06,0.303
2002,['joe nichols'],0.639,0,5N2ybHaC9tqFvYxGj70haX,-7.749,she only smokes when she drinks,0,2002-01-01,0.028999999999999998
2013,['the band perry'],0.64,0,3z0a8G407NbxfjTRffvQiP,-5.17,better dig two,1,2013-01-01,0.0519
2003,"['50 cent', 'snoop dogg']",0.652,1,7D8gRgQ161fqXNOkcanJfa,-7.694,p.i.m.p. - snoop dogg remix,0,2003-02-06,0.35700000000000004
2000,['alan jackson'],0.7340000000000001,0,7sJXuJAILCsWXxMp8il9CZ,-9.174,where i come from,0,2000-11-06,0.0331
2016,['iamsu!'],0.664,1,64gxE7cT3zyvtApCGyZQjL,-8.026,by my side,0,2016-05-01,0.12
2004,['chelo'],0.47600000000000003,0,7iQe3AR9ZsQpJ2OEzQBV6u,-10.262,dos gotas de agua,0,2004-02-20,0.034
2002,['the brian setzer orchestra'],0.483,0,1hxh8wIBsfyXNlzqYvvaVW,-9.355,the nutcracker suite,0,2002,0.0493
2009,['florence + the machine'],0.44799999999999995,0,1T0Kkq1Oio6nHVhenMQeDR,-4.6160000000000005,hurricane drunk,0,2009,0.177
2014,['free throw'],0.677,0,1xIoWDBli7pCi0tFlKc0WB,-6.556,two beers in,1,2014-09-16,0.0384
2003,['grupo laberinto'],0.65,0,77Yhcsal6ceWoLqYbDCeaZ,-5.306,el indio enamorado,1,2003-06-30,0.0515
2007,['within temptation'],0.27699999999999997,0,4BhqnM5lktowwfHqq2JYhg,-4.849,all i need,1,2007-03-09,0.0387
2003,['stone temple pilots'],0.66,0,16x4zrgor3ewwEbPgSrTAB,-6.318,creep,0,2003-11-10,0.0289
2016,['madeintyo'],0.8420000000000001,1,4qdgv45EPcQqpQ08tF34f8,-6.837999999999999,skateboard p,0,2016-08-22,0.505
2017,['brian the sun'],0.526,0,4grrgOFDvIVvw807GmqT1X,-3.864,heroes,1,2017-01-11,0.066
2016,['grupo maximo grado'],0.812,0,0M6ubxqeWNNB6RgeobpaV2,-5.6,el hombre del equipo,1,2016-08-23,0.0501
2019,['ruslan shalbekov'],0.875,0,2edxyy5tYDcO3VtcyiA3yo,-9.413,milky way,0,2019-05-10,0.3720000000000001
2002,['los canelos de durango'],0.7440000000000001,0,04ORlfFcrFRONujIEGjfVt,-7.727,cada dia mas,1,2002-01-01,0.0344
2003,['five for fighting'],0.643,0,2lFlveK1y13WWp3vnQtrr3,-7.459,100 years,1,2003,0.0276
2009,['justin townes earle'],0.596,0,0Y4uDgB6G1AnDpfT7sXQuA,-6.526,can't hardly wait,0,2009-03-03,0.0302
2005,['the mountain goats'],0.7509999999999999,0,0SkIl3O2MVuY0bLiHQ72gi,-17.085,love love love,0,2005-05-02,0.0453
2016,['los alegres del barranco'],0.836,0,6HL4B6ogVUeovbei4XUcrn,-6.0020000000000024,el chino piloto,1,2016-02-21,0.192
2018,['kamil'],0.899,1,2IvdQFwO9U9EAMJGwEvOcK,-6.422999999999999,bakugo!,1,2018-10-15,0.17800000000000002
2016,['panic! at the disco'],0.562,0,3px2rAPu74ltbkf9eZsZ8h,-4.947,emperor's new clothes,1,2016-01-15,0.0807
2005,['the backyardigans'],0.691,0,5YU9WWS0LCwelPrc97X341,-4.7410000000000005,the backyardigans theme song,0,2005-07-12,0.0421
2009,['dean brody'],0.604,0,0ik3NOMf396UPMZZmjWzHx,-6.535,cattleman's gun,1,2009-04-28,0.044000000000000004
2004,['mf doom'],0.512,1,6AyeUhJ5eUg0QzDXbPVHo0,-5.085,guinnesses feat. angelika & 4ize,0,2004-11-16,0.24600000000000002
2010,['randy rogers band'],0.602,0,2bSakZfbGt38Z9sViKpNXc,-5.635,interstate,0,2010-01-01,0.0274
2017,['portugal. the man'],0.8009999999999999,0,6QgjcU0zLnzq5OrUoSZ3OK,-5.115,feel it still,1,2017-06-16,0.0504
2000,['bbmak'],0.624,0,6znv7i4Wif5fLwI6OjKHZ4,-3.109,back here,0,2000-01-01,0.0343
2005,['jeezy'],0.384,1,1sFv3iuZdBeY1jzclqWawE,-8.009,standing ovation,0,2005,0.306
2003,['los telez'],0.818,0,23EzYG5WcweDqh5RX9nFaW,-10.217,yo soy tu maestro,0,2003-05-03,0.0645
2015,"['josh a', 'mr t lexify']",0.56,1,47fIyWY81h5QmLA1aUj7rv,-7.039,no chill (feat. mr t lexify),1,2015-12-28,0.0342
2002,['los tigrillos'],0.8540000000000001,0,4l3SD9S0EOaBAPejqNti6E,-5.19,mira oye,1,2002-07-31,0.0503
2006,['bullet for my valentine'],0.221,0,1sI3qZAGCUs7jbgyPzSWLj,-2.274,suffocating under words of sorrow (what can i do),0,2006-02-14,0.17800000000000002
2012,['troy dark'],0.83,0,1lzUGMswAi55UyF34jqHJV,-4.29,fm - original mix,0,2012-12-31,0.14300000000000002
2015,['chris stapleton'],0.5589999999999999,0,5j4hSQH0KaAc8f6cimnXIT,-9.066,fire away,1,2015-05-04,0.0297
2019,"['luis fonsi', 'daddy yankee', 'justin bieber']",0.649,0,1vnnXMrBeEWiRg3YCMCjQq,-4.346,despacito - remix,1,2019-02-01,0.17800000000000002
2004,['muse'],0.29600000000000004,0,5cvFycFL4BTMA3dHSstMqi,-8.932,falling away with you,0,2004-03-23,0.0361
2017,['jessie reyez'],0.6,1,3U3J5v3rkx89WnFEQvAJD5,-8.975,figures,1,2017-04-21,0.0464
2018,"['xxxtentacion', 'travis barker']",0.6709999999999999,0,4zI04ezdmrN0lT2pHykYrd,-5.117,pain = bestfriend - feat. travis barker,1,2018-03-16,0.0273
2010,['avenged sevenfold'],0.607,1,4veeNpXDK1YRHMTJ1Cppsg,-5.209,buried alive,1,2010-07-23,0.0296
2020,['bad bunny'],0.685,1,6NfrH0ANGmgBXyxgV2PeXt,-4.561,la difícil,1,2020-02-28,0.0858
2018,['xxxtentacion'],0.6990000000000001,1,4UKCKdYiLN6IMA5ZESUTL7,-11.192,the remedy for a broken heart (why am i so in love),1,2018-03-16,0.0993
2018,['sob x rbe'],0.856,1,2tPcTFiQF9MbVUyjZ3zDhA,-5.324,paramedic!,1,2018-02-09,0.14300000000000002
2008,['ice cube'],0.7609999999999999,1,7bADI7mnkoIqrZGwZTjyFi,-5.468999999999999,hood mentality,0,2008-01-01,0.452
2005,['the jackson 5'],0.358,0,6CheRswRZOyRyaYIeeFloE,-9.61,who's loving you,0,2005-01-01,0.0302
2017,"['tyler, the creator', 'rex orange county']",0.7340000000000001,1,33i3xxHB4YSYGYbtJrwwO8,-7.107,foreword (feat. rex orange county),1,2017-07-21,0.0315
2007,['three days grace'],0.366,0,6GVryHJpjnrnrsTggoNTpe,-5.216,home,1,2007-12-25,0.035
2006,['rise against'],0.42,0,1wVUjggKup9hP2jd24gLSg,-2.9610000000000003,injection,0,2006-01-01,0.0804
2011,['billy currington'],0.485,0,57i0MaWyZGlWxEvNUxTMZK,-3.967,must be doin' somethin' right,0,2011-01-01,0.0263
2011,['super junior'],0.9129999999999999,0,6QTBYKLlV2PQniwAWrBV2z,-2.8369999999999997,mr. simple,1,2011-08-02,0.0506
2006,['patrulla 81'],0.718,0,0A4lH5fAqNuLCSOYA3Bp7V,-4.508,cómo pude enamorarme de ti,1,2006-05-02,0.048
2009,['the xx'],0.871,0,27BpBnTNtY9SBrE3EusnM6,-11.077,islands,0,2009-08-18,0.0756
2007,['avenged sevenfold'],0.214,0,0EtXiKDaHJcVFFvhWpSfiN,-3.576,lost,0,2007-10-26,0.0687
2015,['x ambassadors'],0.526,0,0fYVliAYKHuPmECRs1pbRf,-6.002999999999999,renegades,1,2015-06-30,0.0905
2002,['transplants'],0.708,0,5PzBnLGw3pNXwl00N1E7JC,-3.634,california babylon,0,2002-10-22,0.0501
2009,['three days grace'],0.491,0,1cYtqvYDbuzjgSJsAkTRaH,-2.812,bitter taste,0,2009-09-22,0.0464
2011,"['franz liszt', 'lang lang']",0.27899999999999997,0,2u9VGZmVz7Rm01SfDgzcfA,-26.804000000000002,"liebestraum no. 3 in a-flat major, s. 541 / 3",1,2011-08-22,0.0406
2001,['five horse johnson'],0.41,0,44MBgTjYSZUIqq6KoBEcsD,-4.09,mississippi king,0,2001-04-10,0.0379
2015,['jelly roll'],0.655,1,5ELEsgMwvWJald9BQbIgsV,-11.133,smoking section,1,2015-12-04,0.0512
2017,"['big gigantic', 'kasbo', 'angela mccluskey']",0.49,0,4KRkanYEoxAEBY5HDtYGU6,-5.6770000000000005,the little things (feat. angela mccluskey) - kasbo remix,1,2017-08-30,0.0427
2016,['denzel curry'],0.772,1,5BSz8sJO2YmKfNVQG7fq2J,-5.3370000000000015,ult,1,2016-10-14,0.24
2020,"['g-eazy', 'tory lanez', 'tyga']",0.8029999999999999,1,0JjM9bKm4wrwohMslcm892,-4.692,still be friends (feat. tory lanez & tyga),1,2020-02-07,0.0494
2000,"['pepe tovar y los chacales', 'los chacales']",0.7070000000000001,0,3flVeH74WZf4FFeKHmwV9I,-4.918,lobo herido,0,2000,0.0405
2001,['luis y julian'],0.609,0,5kTjj2NeWlC1aw7pCasRSm,-6.425,misa de cuerpo presente,0,2001-01-01,0.495
2002,['98º'],0.5720000000000001,0,5FypLOLmX3qpjiZq8eUTTV,-7.3370000000000015,i do (cherish you),1,2002-05-07,0.0362
2003,['linkin park'],0.535,0,3BmjRmFTESgWZLPSVGp8aG,-3.324,lying from you,1,2003-03-24,0.18
2007,['jason aldean'],0.568,0,5I6aGUlPQMacL3jsB7D52n,-6.664,who's kissing you tonight,0,2007-05-29,0.027000000000000003
2017,['jack stauber'],0.7,0,2iTma4kHADFcTlR24R8hIP,-13.015999999999998,dog nightmare,1,2017-03-25,0.111
2001,['john williams'],0.18,0,5Vfg6oAN5VpGlKceZyoijb,-34.211999999999996,the invisibility cloak and the library scene,0,2001-10-30,0.0386
2007,['fall out boy'],0.42,0,1gSt2UlC7mtRtJIc5zqKWn,-3.9019999999999997,"it's hard to say ""i do"", when i don't",0,2007-01-01,0.0823
2018,['rüfüs du sol'],0.599,0,3B8Tx2eKzZ1u6bPnozOL1h,-5.897,treat you better,1,2018-10-19,0.034
2003,['cursive'],0.633,0,3hwbRqQLezmv5Yo2LITSnb,-10.13,the recluse,0,2003-03-04,0.0352
2019,['václav slezák'],0.124,0,5NDJhWYEfJbARTnlyXISpP,-29.689,trpělivost růže přináší,1,2019-09-13,0.0721
2012,['youngblood hawke'],0.56,0,4Xv41B0BJRcMBJYpavNDfD,-7.013999999999999,we come running,0,2012-01-01,0.040999999999999995
2014,['run the jewels'],0.701,1,5jQYkYhoOlBW4vJ2l4TCxl,-7.938,"blockbuster night, pt. 1",1,2014-10-24,0.382
2020,['taylor swift'],0.313,0,0eFQWVz0qIxDOvhLpZ40P7,-11.532,the lakes - bonus track,1,2020-08-18,0.0383
2006,"['yuridia', 'patricio borghetti']",0.688,0,2rvDPgJnBxnkIRpYwVFrY2,-6.725,eclipse total del amor (total eclipse of the heart) (with patricio borghetti),1,2006-10-27,0.0286
2012,['pitbull'],0.7290000000000001,0,3eQlGeyuSibgAGPEJugaDW,-4.5,"back in time - featured in ""men in black 3""",0,2012,0.045
2013,['andrew belle'],0.494,0,2DHDuADAHoUW6n0z80RLQF,-5.8629999999999995,pieces,1,2013-08-20,0.0314
2010,['brother dege'],0.743,0,3B9CVXsyyFRVQwCPYbhS9m,-5.933,too old to die young,1,2010-02-16,0.0287
2000,['modest mouse'],0.40399999999999997,0,5JIdzOHynj0wI8tpvd15Ug,-5.278,what people are made of,0,2000-06-13,0.0548
2017,['our last night'],0.593,0,1wp1aHirvZihTdrtdFuFv0,-6.098,1-800-273-8255,1,2017-09-26,0.0317
2010,['alexandre desplat'],0.151,0,25XuCuq4K715NKLOohw7ZM,-33.439,harry and ginny,0,2010-11-23,0.0426
2012,['miracle musical'],0.33299999999999996,0,0AFydkgl5Creero3gNjqvF,-9.533999999999999,murders,1,2012,0.0305
2007,['kid rock'],0.7,0,32rHadAy6b8xYgSq22C0r8,-3.6289999999999996,all summer long,0,2007-10-09,0.0283
2013,"['carole shelley', 'idina menzel']",0.3720000000000001,0,7279cZz7RhBAmRHAPraTeV,-8.157,"the wizard and i - from ""wicked"" original broadway cast recording/2003",0,2013-01-01,0.0371
2018,['verzache'],0.8320000000000001,0,1SlM5HXf9DjC6PVy2x4nWQ,-6.492999999999999,losing my love,1,2018-01-05,0.161
2010,['natalie grant'],0.302,0,5pdYFUzu94cFVCqOFCd3lk,-5.165,your great name,0,2010-08-24,0.043
2005,['fall out boy'],0.528,0,6HJzCcSMggn7Ultxs48dAe,-4.186,nobody puts baby in the corner,0,2005-05-03,0.0588
2007,"['gorilla zoe', 'yung joc']",0.728,1,7wuh65sqmWBJRsjhmOM3Wl,-5.013,juice box (feat. yung joc),0,2007-09-24,0.0369
2003,['nickelback'],0.535,0,0yo0yBf0SCt6bSStga0V27,-5.008,should've listened,0,2003-09-23,0.0352
2001,"['project pat', 'la chat', 'three 6 mafia']",0.862,1,4k5xJOxoJbMW5sdkZGOezj,-5.729,chickenhead (feat. la chat & three 6 mafia),0,2001-02-13,0.259
2020,['sada baby'],0.9259999999999999,1,6hLZzCS4E7AWo3PRBWy6az,-1.8869999999999998,whole lotta choppas,1,2020-08-14,0.205
2009,['david guetta'],0.674,0,77FULy278MulVvGWS8BfK7,-4.614,when love takes over (feat. kelly rowland),0,2009-08-21,0.0253
2008,['moderatto'],0.647,0,2LSa3F2AZldoF2jSCxG5re,-8.871,mil demonios,1,2008-01-01,0.0263
2008,['heartless bastards'],0.312,0,4EHj5uISRYiQpZ77KjZbw2,-3.187,the mountain,0,2008,0.033
2009,['michael jackson'],0.8170000000000001,0,7MdenVOyOCRoxbgPpjEiAL,-4.838,they don't care about us - remastered version,1,2009,0.161
2001,['sum 41'],0.568,0,1HNE2PX70ztbEl6MLxrpNL,-5.875,in too deep,1,2001-01-01,0.0505
2001,"['la india', 'marc anthony']",0.621,0,3pbHWsFxkCnS9Bp4tAmYNi,-4.944,vivir lo nuestro,0,2001-01-01,0.0393
2014,['sam smith'],0.456,0,4T2qnyKCo9UISjERbIeJQg,-7.561,life support,1,2014-05-26,0.0352
2013,['chance the rapper'],0.41700000000000004,0,7nrraHMpSbyJJoN3unjjoJ,-10.017000000000001,interlude (that's love),0,2013-04-30,0.121
2018,"['diplo', 'trippie redd']",0.57,1,7lxOjQyVsHQ8toQeT7IgCc,-4.835,wish,1,2018-03-23,0.0905
2015,['circa waves'],0.42200000000000004,0,1gR9y60Vr70iUtfC61JIXH,-4.603,t-shirt weather,0,2015-09-01,0.0661
2001,['system of a down'],0.413,0,0snQkGI5qnAmohLE7jTsTn,-4.151,toxicity,1,2001-09-04,0.0535
2008,['ike & tina turner'],0.622,0,06yREZ9X92R2e9RJpdzZ2O,-5.846,nutbush city limits,1,2008-09-30,0.0322
2010,['cher'],0.6659999999999999,0,0OQyjeW3jHynzehiKw1wPo,-7.88,welcome to burlesque - burlesque original motion picture soundtrack,0,2010-11-22,0.0476
2015,['nytron'],0.765,0,5XTAREgi9788w0hesR7vDE,-6.7929999999999975,never give up - original mix,0,2015-12-14,0.0468
2012,['lake street dive'],0.679,0,4ehS4c6As9l5slahfk0S8F,-6.915,rich girl,1,2012,0.179
2018,['geo da silva'],0.665,0,4hQQzJFMswVWfZsgN9FqBu,-4.324,take me away - radio edit,0,2018-12-26,0.0839
2014,"['yg', 'schoolboy q', 'jay rock']",0.7979999999999999,1,1ZX8sOGnVyE5FZBh1oKzZa,-7.715,i just wanna party,1,2014-01-01,0.2
2013,"['j. cole', 'tlc']",0.606,1,5gFoAVTN9YlM9uJCrFZtgl,-6.2929999999999975,crooked smile (feat. tlc),1,2013-06-18,0.268
2001,['britney spears'],0.534,0,1xg1yGPy1Y3YUf44s6TB1o,-6.857,"i'm not a girl, not yet a woman",1,2001-10-31,0.0245
2007,['the fratellis'],0.598,0,5t1Eqjxu93ub0LiTgxZQOB,-5.218999999999999,flathead,0,2007-01-01,0.139
2000,['del the funky homosapien'],0.825,1,736y1ZQptSw5iaMkbmvu9X,-6.977,press rewind,0,2000-01-01,0.327
2007,['jordin sparks'],0.467,0,6P5mjh3dfcYJ6JoDd4tdWI,-5.37,this is my now,0,2007-11-20,0.0287
2017,"[""olivia o'brien""]",0.813,1,3HzcPKuTJyMmkWDgzswarl,-6.568,fuck feelings,1,2017-11-17,0.0442
2020,"['2 chainz', 'lil uzi vert', 'chief keef']",0.774,0,5tQcsMR2lV1pCMiSgmjyIL,-5.853,free lighter (feat. lil uzi vert & chief keef),0,2020-11-13,0.247
2018,['réka ioescu'],0.391,0,3Se2ifaSm69Np4OtyaNNKa,-30.56900000000001,endymion,1,2018-09-29,0.079
2003,['klaus badelt'],0.22699999999999998,0,3rPmRqTPwBs5qCotzfqpwO,-22.851,fog bound,0,2003-07-22,0.0397
2013,"['eminem', 'kendrick lamar']",0.7659999999999999,1,0iMN420Q45isZVNlAqzPTW,-2.546,love game,1,2013-11-05,0.18
2001,['mala fe'],0.732,0,7mGZOvx8AnW0M4CFBfeTPU,-2.668,tra tra,0,2001,0.145
2004,"['andrew lloyd webber', 'emmy rossum', 'patrick wilson']",0.349,0,6eJ0qhctR7doDBkS9SL9cy,-20.304000000000002,think of me,1,2004-12-10,0.0387
2016,"['ravyn lenae', 'appleby']",0.778,0,3HEn14GqygLCNfroOnYiZb,-7.662000000000001,free room (feat. appleby),1,2016-07-29,0.318
2012,"['cher lloyd', 'becky g']",0.41200000000000003,0,6D0QtayzCNVKoIZ8IX2npw,-3.65,oath,1,2012-10-02,0.13
2005,['celtic woman'],0.25,0,75sSAymXP6tGOeRvImwzOf,-16.983,danny boy,0,2005-01-01,0.0389
2019,['weezer'],0.534,0,3ZPKocroJIcnHGcnJVlLKD,-3.59,africa,1,2019-01-24,0.0339
2016,"['eden', 'gnash']",0.38799999999999996,0,7fJALFBexDXzu0QdatF5O4,-3.2689999999999997,fumes,1,2016-08-19,0.231
2008,['esperanza spalding'],0.506,0,2CS0RcwxuawBHEs8n7gS3i,-12.584000000000001,precious,0,2008-01-01,0.0571
2000,['alice dj'],0.674,0,45e8T07myBjutIx2xh8Kq5,-9.69,better off alone,1,2000,0.0659
2003,['galactic'],0.628,0,5AXMEvIxIF2a8mV8RGDc3m,-5.779,bittersweet,0,2003,0.0875
2010,['taylor swift'],0.485,0,1P5QpwOgXJuoVTm3CWbnLY,-4.54,today was a fairytale - us version,0,2010-01-01,0.0321
2020,"['bad bunny', 'yaviah']",0.737,1,4j4w4CXm6BSr0s25wAWrrX,-4.242,bichiyal,1,2020-02-28,0.0458
2006,['e-40'],0.6,1,6JFdyoLzHdGibgutS7LrBb,-8.971,yay area,0,2006-03-14,0.406
2012,['issa ibrahim'],0.754,0,2UsSkzRLM1TTP9mmVdIaSA,-6.9879999999999995,meaty bikini,0,2012-09-03,0.0273
2006,['shiny toy guns'],0.762,1,4jjtFbO4dYu4JO0CIph6Ak,-3.657,le disko,0,2006-01-01,0.0463
2012,['lana del rey'],0.586,0,7c3GnJoriaSP3Xi1wJ5gMb,-8.342,dark paradise,0,2012-01-30,0.0634
2003,['thrice'],0.382,0,52eKlQVgqvdSzEUYDi3ihh,-3.76,cold cash and cold hearts,0,2003-01-01,0.083
